President,avg_AoA,biggest_words,biggest_words_definitions,smallest_words,smallest_words_definitions,biggest_sentence,biggest_sentence_rating,biggest_sentence_before,biggest_sentence_after,smallest_sentence,smallest_sentence_rating,smallest_sentence_before,smallest_sentence_after
Gerald Ford,7.573696603459050,"['bipartisan', 'inflationary', 'ballistic', 'inequitable', 'immutable']","['supported by both sides', 'associated with or tending to cause increases in inflation', 'relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity', 'not equitable or fair', 'not subject or susceptible to change or variation in form or quality or nature']","['count', 'mother', 'happy', 'hand', 'bad']","['the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","A necessary condition of a healthy economy is freedom from the petty
tyranny of massive government regulation.",9.421000000000000,"But with lower
interest rates and available mortgage money, we can have a healthy recovery
in 1976.","We are wasting literally millions
of working hours costing billions of taxpayers' and consumers' dollars
because of bureaucratic redtape.","We came from many roots, and we have many branches.",3.72,But think for a minute how far we have come in 200 years.,"Yet all Americans
across the eight generations that separate us from the stirring deeds of
1776, those who know no other homeland and those who just found refuge
among our shores, say in unison:

I am proud of America, and I am proud to be an American."
George Washington,8.098029836609050,"['condign', 'obviate', 'deputation', 'licentious', 'circumspection']","['fitting or appropriate and deserved; used especially of punishment', 'do away with', 'a group of representatives or delegates', 'lacking moral discipline; especially sexually unrestrained', 'knowing how to avoid embarrassment or distress']","['count', 'happy', 'hand', 'stop', 'see']","['the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'the event of something ending', ""the seat within a bishop's diocese where his cathedral is located""]","Ought our country to remain in such cases dependent on foreign supply,
precarious because liable to be interrupted?",9.153333333333330,"As a general rule, manufactures on public account are
inexpedient; but where the state of things in a country leaves little hope
that certain branches of manufacture will for a great length of time
obtain, when these are of a nature essential to the furnishing and
equipping of the public force in time of war, are not establishments for
procuring them on public account to the extent of the ordinary demand for
the public service recommended by strong considerations of national policy
as an exception to the general rule?","If the necessary article
should in this mode cost more in time of peace, will not the security and
independence thence arising form an ample compensation?","Measures are in
operation for effecting treaties with the Regencies of Tunis and Tripoli.",7.84,"The actual liberation of all our citizens who were prisoners in
Algiers, while it gratifies every feeling of heart, is itself an earnest of
a satisfactory termination of the whole negotiation.","To an active external commerce the protection of a naval force is
indispensable."
Warren G. Harding,8.100142819359960,"['remunerative', 'amelioration', 'requisite', 'prostrate', 'bulwark']","['for which money is paid', 'the act of relieving ills and changing for the better', 'anything indispensable', 'get into a prostrate position, as in submission', 'an embankment built around a space for defensive purposes']","['water', 'count', 'hand', 'big', 'ask']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'the (prehensile) extremity of the superior limb', 'above average in size or number or quantity or magnitude or extent', 'inquire about']","Contemplating the inevitable and desirable increase of population, there is
another phase of reclamation full worthy of consideration.",9.435555555555560,"These prospects seem to afford every justification of
Government advances in reclamation and irrigation.","There are
79,000,000 acres of swamp and cut-over lands which may be reclaimed and
made as valuable as any farm lands we possess.","These
have proven very helpful to the cooperating communities in Europe.",4.58,"Every proper
encouragement should be given to the cooperative marketing programs.","In
Russia the cooperative community has become the recognized bulwark of law
and order, and saved individualism from engulfment in social paralysis."
Ulysses S. Grant,7.943165137614680,"['sagacity', 'mikado', 'remunerative', 'indemnity', 'contravene']","['the mental ability to understand and discriminate between relations', 'the emperor of Japan; when regarded as a religious leader the emperor is called tenno', 'for which money is paid', 'protection against future loss', 'go against, as of rules and laws']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","Our progress has been great in all the arts--in science,
agriculture, commerce, navigation, mining, mechanics, law, medicine, etc.",8.822,"Our liberties remain unimpaired; the bondmen have been freed from slavery;
we have become possessed of the respect, if not the friendship, of all
civilized nations.",";
and in general education the progress is likewise encouraging.","In two of
said counties, York and Spartanburg, many arrests have been made.",3.72,"Direction was given that within the counties so designated persons
supposed, upon creditable information, to be members of such unlawful
combinations should be arrested by the military forces of the United States
and delivered to the marshal, to be dealt with according to law.","At the
last account the number of persons thus arrested was 168."
John Adams,8.132741858919590,"['obviate', 'indemnity', 'licentious', 'exchequer', 'sanguine']","['do away with', 'protection against future loss', 'lacking moral discipline; especially sexually unrestrained', 'the funds of a government or institution or individual', 'a blood-red color']","['mother', 'happy', 'hand', 'bed', 'door']","['a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'a piece of furniture that provides a place to sleep', 'a swinging or sliding barrier that will close the entrance to a room or building or vehicle']","They have full power to conclude a treaty, subject to the constitutional
advice and consent of the Senate.",8.209,"The assurances which were required of the French Government previous to the
departure of our envoys have been given through their minister of foreign
relations, and I have directed them to proceed on their mission to Paris.","The characters of these gentlemen are
sure pledges to their country that nothing incompatible with its honor or
interest, nothing inconsistent with our obligations of good faith or
friendship to any other nation, will be stipulated.","During
those wars treaties with Great Britain and Spain had been effected, and
those with Prussia and France renewed.",5.05,"Before the wars of the French Revolution such treaties had been
consummated with the United Netherlands, Sweden, and Prussia.","In all these some concessions to
the liberal principles of intercourse proposed by the United States had
been obtained; but as in all the negotiations they came occasionally in
collision with previous internal regulations or exclusive and excluding
compacts of monopoly with which the other parties had been trammeled,
the advances made in them toward the freedom of trade were partial and
imperfect."
Abraham Lincoln,7.803927686973750,"['obviate', 'remunerative', 'sanguine', 'adjudication', 'pasha']","['do away with', 'for which money is paid', 'a blood-red color', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'a civil or military authority in Turkey or Egypt']","['water', 'hand', 'bad', 'ask', 'door']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency', 'inquire about', 'a swinging or sliding barrier that will close the entrance to a room or building or vehicle']","A proposition is pending to revive the
convention, that it may be able to do more complete justice.",8.441000000000000,"The
commission under the convention with the Republic of New Granada closed
its session without having audited and passed upon all the claims which
were submitted to it.","The joint
commission between the United States and the Republic of Costa Rica has
completed its labors and submitted its report.","Only 12 of them were soldiers, of whom 7 have since died.",3.72,"At the
beginning of the year the number of Revolutionary pensioners was 1,430.","The remainder
are those who under the law receive pensions because of relationship to
Revolutionary soldiers."
William McKinley,8.178186328267800,"['obviate', 'inculpate', 'indemnity', 'deleterious', 'peremptory']","['do away with', 'suggest that someone is guilty', 'protection against future loss', 'harmful to living things', 'offensively self-assured or given to exercising usually unwarranted power']","['water', 'mother', 'happy', 'hand', 'stop']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'the event of something ending']","Most desirable from every standpoint of national interest and patriotism is
the effort to extend our foreign commerce.",9.622222222222220,"It is believed that
by a careful exercise of the powers conferred by that Act some grievances
of our own and of other countries in our mutual trade relations may be
either removed, or largely alleviated, and that the volume of our
commercial exchanges may be enlarged, with advantage to both contracting
parties.","To this end our merchant marine
should be improved and enlarged.","We are doing
these things with the means at hand.",2.74,"We are maintaining the parity of all
the money issued or coined by authority of the Government.","Happily at the present time we are not
compelled to resort to loans to supply gold."
Donald Trump,6.989892134831460,"['meth', 'counterterrorism', 'bipartisan', 'hake', 'tenure']","['an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant', 'a strategy intended to prevent or counter terrorism', 'supported by both sides', 'the lean flesh of a fish similar to cod', 'the term during which some position is held']","['mom', 'water', 'daddy', 'dad', 'mother']","['informal terms for a mother', 'binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'an informal term for a father; probably derived from baby talk', 'an informal term for a father; probably derived from baby talk', 'a woman who has given birth to a child (also used as a term of address to your mother)']","We must choose between greatness or gridlock, results or resistance, vision or vengeance, incredible progress or pointless destruction.",8.092727272727270,The decision is ours to make.,"Tonight, I ask you to choose greatness.","But in September 2016, on the eve of Nisa's 16th Birthday,
neither of them came home.",2.85,"Their two teenage
daughters -- Kayla Cuevas and Nisa Mickens -- were close friends on Long
Island.","These two precious girls were brutally
murdered while walking together in their hometown."
James Buchanan,7.944884209263260,"['indemnity', 'deleterious', 'banditti', 'intemperate', 'arbiter']","['protection against future loss', 'harmful to living things', 'an armed thief who is (usually) a member of a band', '(of weather or climate) not mild; subject to extremes', 'someone with the power to settle matters at will']","['water', 'happy', 'hand', 'bad', 'animal']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency', 'a living organism characterized by voluntary movement']","But if in the
midst of the existing excitement the Union shall perish, the evil may then
become irreparable.",8.615000000000000,"I firmly
believe that it has reached and passed the culminating point.","Congress can contribute much to avert it by proposing and recommending to
the legislatures of the several States the remedy for existing evils which
the Constitution has itself provided for its own preservation.","It exists independently of all
constitutions, and has been exercised at all periods of the world's
history.",6.42,"The
right of resistance on the part of the governed against the oppression of
their governments can not be denied.","Under it old governments have been destroyed and new ones have
taken their place."
Dwight D. Eisenhower,7.929512663755460,"['repudiate', 'purport', 'bipartisan', 'inflationary', 'delineation']","['cast off', 'the intended meaning of a communication', 'supported by both sides', 'associated with or tending to cause increases in inflation', 'a graphic or vivid verbal description']","['water', 'count', 'happy', 'hand', 'eat']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'take in solid food']","Because drought also remains a serious agricultural problem, I shall
recommend legislation to strengthen Federal disaster assistance programs.",9.038181818181820,"I shall later
submit recommendations designed to assure the steady alleviation of their
most pressing concerns.","This legislation will prescribe an improved appraisal of need, better
adjustment of the various programs to local conditions, and a more
equitable sharing of costs between the States and the Federal Government.","We are also reducing further our requests for new
appropriations.",4.72,"This will
reduce the spending level over the two fiscal years by more than
$12,000,000,000.","Second, despite the substantial loss of revenue in the coming fiscal year,
resulting from tax reductions now in effect and tax adjustments which I
shall propose, our reduced spending will move the new budget closer to a
balance."
Barack Obama,6.883248172902740,"['counterterrorism', 'bipartisan', 'nonproliferation', 'microcosm', 'refinance']","['a strategy intended to prevent or counter terrorism', 'supported by both sides', 'the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons)', 'a miniature model of something', 'renew the financing of']","['mom', 'water', 'dad', 'count', 'mother']","['informal terms for a mother', 'binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'an informal term for a father; probably derived from baby talk', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)']","Rules to prevent
financial fraud, or toxic dumping, or faulty medical devices, don't destroy
the free market.",7.991,"That's why we need
smart regulations to prevent irresponsible behavior.",They make the free market work better.,"It's not about helping banks -- it's about helping
people.",3.52,That's what this is about.,"Because when credit is available again, that young family can finally
buy a new home."
Grover Cleveland,6.883248172902740,"['obviate', 'geodetic', 'palliation', 'indemnity', 'deleterious']","['do away with', 'of or relating to or determined by geodesy', 'easing the severity of a pain or a disease without removing the cause', 'protection against future loss', 'harmful to living things']","['water', 'mother', 'happy', 'hand', 'cry']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'a loud utterance; often in protest or opposition']","Its stability and proper remuneration furnish
the most justifiable pretext for a protective policy.",10.822500000000000,"We should also deal with the subject in
such manner as to protect the interests of American labor, which is the
capital of our workingmen.","Within these limitations a certain reduction should be made in our customs
revenue.","Lands in severalty
have been allotted to many of them.",3.72,"About 110,000 of these
Indians have to a large degree adopted civilized customs.","Such allotments have been made to 10,000
individuals during the last fiscal year, embracing about 1,000,000 acres."
Chester A. Arthur,8.349199563398220,"['obviate', 'indemnity', 'guarantor', 'unalloyed', 'preponderance']","['do away with', 'protection against future loss', 'one who provides a warrant or guarantee to another', 'free from admixture', 'superiority in power or influence']","['water', 'happy', 'hand', 'ask', 'stop']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'inquire about', 'the event of something ending']","They will disclose the readiness of our
countrymen to make successful competition in distant fields of enterprise.",8.98125,"The participation of Americans in the exhibitions at Melbourne and Sydney
will be approvingly mentioned in the reports of the two exhibitions, soon
to be presented to Congress.","Negotiations for an international copyright convention are in hopeful
progress.","Some of its awards, though made more than two years ago, have
not yet been paid.",3.72,"The commission appointed to decide certain claims of our citizens against
the Spanish Government, after the recognition of a satisfactory rule as to
the validity and force of naturalization in the United States, has finally
adjourned.",Their speedy payment is expected.
Lyndon B. Johnson,7.2087362809658200,"['rostrum', 'inflationary', 'nonproliferation', 'ennoble', 'surtax']","['a platform raised above the surrounding level to give prominence to the person on it', 'associated with or tending to cause increases in inflation', 'the prevention of something increasing or spreading (especially the prevention of an increase in the number of countries possessing nuclear weapons)', 'confer dignity or honor upon', 'an additional tax on certain kinds of income that has already been taxed']","['water', 'count', 'mother', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","We will work to strengthen economic cooperation, to reduce barriers to
trade, and to improve international finance.",8.661,"We will take new steps this year to help strengthen the Alliance for
Progress, the unity of Europe, the community of the Atlantic, the regional
organizations of developing continents, and that supreme association--the
United Nations.","From the Marshall plan to this very moment tonight, that policy has rested
on the claims of compassion, and the certain knowledge that only a people
advancing in expectation will build secure and peaceful lands.","No longer are we called
upon to get America moving.",3.17,"Most important of all, in this period, the United States has reemerged into
the fullness of its self-confidence and purpose.",We are moving.
Joe Biden,6.794732374100720,"['codify', 'bipartisan', 'inflationary', 'unionize', 'exorbitant']","['organize into a code or system, such as a body of law', 'supported by both sides', 'associated with or tending to cause increases in inflation', 'recruit for a union or organize into a union', 'greatly exceeding bounds of reason or moderation']","['mom', 'water', 'daddy', 'dad', 'count']","['informal terms for a mother', 'binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'an informal term for a father; probably derived from baby talk', 'an informal term for a father; probably derived from baby talk', 'the total number counted']","Look, the Inflation Reduction Act is also the most significant investment ever to tackle the climate crisis.",9.008888888888890,"Lets finish the job, make those savings permanent, and expand coverage to those left off Medicaid.","Lowering utility bills, creating American jobs, and leading the world to a clean energy future.",Weve written a bill to stop all that.,2.89,Not anymore.,Its called the Junk Fee Prevention Act.
Harry Truman,7.647860155672480,"['amortization', 'arrears', 'comp', 'preponderance', 'bipartisan']","['the reduction of the value of an asset by prorating its cost over a period of years', 'the state of being behind in payments', ""an intensive examination testing a student's proficiency in some special field of knowledge"", 'superiority in power or influence', 'supported by both sides']","['water', 'happy', 'hand', 'cry', 'bad']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'a loud utterance; often in protest or opposition', 'that which is below standard or expectations as of ethics or decency']","Contract settlement and surplus property disposal.--The winding up of war
procurement is the second most important liquidation job.",8.705454545454550,"Expenditures for pay, subsistence, travel, and
miscellaneous expenses of the armed forces, excluding mustering-out pay,
are estimated at 5 billion dollars.","By the end of
November a total of 301,000 prime contracts involving commitments of 64
billion dollars had been terminated.","We have demonstrated it
in our relations with Indonesia, India, and with China.",3.72,We have demonstrated it in the Philippines.,"We hope to join in
restoring the people of Japan to membership in the community of free
nations."
James Madison,8.215852776864940,"['sagacity', 'indemnity', 'licentious', 'plenipotentiary', 'elucidation']","['the mental ability to understand and discriminate between relations', 'protection against future loss', 'lacking moral discipline; especially sexually unrestrained', 'a diplomat who is fully authorized to represent his or her government', 'an act of explaining that serves to clear up and cast light on']","['water', 'happy', 'hand', 'stop', 'fly']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'the event of something ending', 'two-winged insects characterized by active flight']","The face of our country ever presents evidence
of laudable enterprise, of extensive capital, and of durable improvement.",9.797777777777780,"The fruits of the seasons, though in particular articles
and districts short of their usual redundancy, are more than sufficient for
our wants and our comforts.","In a cultivation of the materials and the extension of useful manufactures,
more especially in the general application to household fabrics, we behold
a rapid diminution of our dependence on foreign supplies.","This is the case with a few
others, either not completed or in need of repairs.",5.15,"Those for the
security of the city of New York, though far advanced toward completion,
will require a further time and appropriation.","The improvements in quality and quantity made in the manufacture of cannon
and small arms, both at the public armories and private factories, warrant
additional confidence in the competency of these resources for supplying
the public exigencies."
John Tyler,7.9396802646086,"['condign', 'indemnity', 'debenture', 'aegis', 'exchequer']","['fitting or appropriate and deserved; used especially of punishment', 'protection against future loss', 'the ability of a customer to obtain goods or services before payment, based on the trust that payment will be made in the future', 'kindly endorsement and guidance', 'the funds of a government or institution or individual']","['water', 'happy', 'hand', 'bad', 'animal']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency', 'a living organism characterized by voluntary movement']","The subjects as now
arranged are incongruous, and require to a certain extent information and
qualifications altogether dissimilar.",10.284285714285700,"The present organization of
the Department imparts to its operations great efficiency, but I concur
fully in the propriety of a division of the Bureau of Construction,
Equipment, Increase, and Repairs into two bureaus.","The operations of the squadron on the coast of Africa have been conducted
with all due attention to the object which led to its origination, and I am
happy to say that the officers and crews have enjoyed the best possible
health under the system adopted by the officer in command.","Disturbances which
recently broke out are, however, now understood to be quieted.",5.11,"The Empire of Brazil has not been altogether exempt from those convulsions
which so constantly afflict the neighboring republics.","But these
occurrences, by threatening the stability of the governments, or by causing
incessant and violent changes in them or in the persons who administer
them, tend greatly to retard provisions for a just indemnity for losses and
injuries suffered by individual subjects or citizens of other states."
Woodrow Wilson,7.475044803695150,"['indemnity', 'naphtha', 'arbiter', 'jurisprudence', 'tenure']","['protection against future loss', 'any of various volatile flammable liquid hydrocarbon mixtures; used chiefly as solvents', 'someone with the power to settle matters at will', 'the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do', 'the term during which some position is held']","['water', 'wet', 'count', 'happy', 'hand']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'wetness caused by water', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb']","It is
the embodiment, the effectual embodiment, of the spirit of law and
independence and liberty and mutual service.",9.832222222222220,It has none of the spirit of empire in it.,"A very notable body of men recently met in the City of Washington, at the
invitation and as the guests of this Government, whose deliberations are
likely to be looked back to as marking a memorable turning point in the
history of America.","Porto Rico, Hawaii, the
Philippines, are ours, indeed, but not ours to do what we please with.",3.6,Here we are trustees.,"Such
territories, once regarded as mere possessions, are no longer to be
selfishly exploited; they are part of the domain of public conscience and
of serviceable and enlightened statesmanship."
William Howard Taft,8.163257030739050,"['penury', 'indemnity', 'deleterious', 'amalgamation', 'recapitulate']","['a state of extreme poverty or destitution', 'protection against future loss', 'harmful to living things', 'the combination of two or more commercial companies', 'summarize briefly']","['water', 'count', 'happy', 'hand', 'cry']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'the total number counted', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'a loud utterance; often in protest or opposition']","A present declaration
even of future independence would retard progress by the dissension and
disorder it would arouse.",8.770909090909090,"We should do all
this with a disinterested endeavor to secure for the Filipinos economic
independence and to fit them for complete self-government, with the power
to decide eventually, according to their own largest good, whether such
self-government shall be accompanied by independence.","On our part it would be a disingenuous attempt,
under the guise of conferring a benefit on them, to relieve ourselves from
the heavy and difficult burden which thus far we have been bravely and
consistently sustaining.","This is about 18 months before the time promised by the
engineers.",5.16,"The very satisfactory progress made on the Panama Canal last year has
continued, and there is every reason to believe that the canal
will be completed as early as the 1st of July, 1913, unless something
unforeseen occurs.","We are now near enough the completion of the canal to make it imperatively
necessary that legislation should be enacted to fix the method by which the
canal shall be maintained and controlled and the zone governed."
James K. Polk,7.925329254225390,"['sagacity', 'indemnity', 'arbiter', 'adjudication', 'preponderance']","['the mental ability to understand and discriminate between relations', 'protection against future loss', 'someone with the power to settle matters at will', 'the final judgment in a legal proceeding; the act of pronouncing judgment based on the evidence presented', 'superiority in power or influence']","['water', 'mother', 'happy', 'hand', 'bad']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'that which is below standard or expectations as of ethics or decency']","In their vigilant vindication collision and conflict with foreign powers
may sometimes become unavoidable.",9.248750000000000,"They admit of
no compromise or neglect, and must be scrupulously and constantly guarded.","Such has been our scrupulous adherence to
the dictates of justice in all our foreign intercourse that, though
steadily and rapidly advancing in prosperity and power, we have given no
just cause of complaint to any nation and have enjoyed the blessings of
peace for more than thirty years.","They were rejected, and,
negotiations being at an end, hostilities were renewed.",4.28,"These were the leading considerations which induced me to authorize the
terms of peace which were proposed to Mexico.","An assault was made
by our gallant Army upon the strongly fortified places near the gates of
the City of Mexico and upon the city itself, and after several days of
severe conflict the Mexican forces, vastly superior in number to our own,
were driven from the city, and it was occupied by our troops."
Franklin Pierce,8.225793952412430,"['sagacity', 'indemnity', 'contravene', 'aegis', 'inchoate']","['the mental ability to understand and discriminate between relations', 'protection against future loss', 'go against, as of rules and laws', 'kindly endorsement and guidance', 'only partly in existence; imperfectly formed']","['water', 'mother', 'happy', 'hand', 'cry']","['binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent', 'a woman who has given birth to a child (also used as a term of address to your mother)', 'enjoying or showing or marked by joy or pleasure', 'the (prehensile) extremity of the superior limb', 'a loud utterance; often in protest or opposition']","They would upon deliberation shrink with unaffected horror from any
conscious act of disunion or civil war.",8.926666666666670,"I confidently believe that the great body of those who inconsiderately took
this fatal step are sincerely attached to the Constitution and the Union.","But they have entered into a path
which leads nowhere unless it be to civil war and disunion, and which has
no other possible outlet.","Pursuant to that agreement, he has been
released, and is now in the United States.",8.16,"Under an arrangement between the agents of
the United States and of Austria, he was transferred to the custody of the
French consul-general at Smyrna, there to remain until he should be
disposed of by the mutual agreement of the consuls of the respective
Governments at that place.","The Emperor of Austria has made
the conduct of our officers who took part in this transaction a subject of
grave complaint."